,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
0,6.15,0.0,6.15,26,0,26,1.5,28,0,28,0.96,0.0,0.96,2118,0,2118,81.46,0.0,81.46,76.0,76.0,4.5,5.25,5.3125,0.0,0.0,4.5,6.0,7.0,3.5,5.5,4.0,8.0,4.0,4.0,6.0,8.0,4.5,5.5,2,8,5.0,0.0,1.0,5.0,9.0,15.0,0.7655,622.0,2.0,2.0,36.65,27.0,0.0,0.0,7.0
1,6.16,6.16,6.24,29,29,42,1.04,22,22,31,1.0,1.0,1.0,2596,2596,3766,89.52,89.52,89.67,118.0,121.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,6.5,6.0,4.0,6.5,7.0,6.0,8.5,5.0,6.0,7.0,6.0,4,10,4.0,0.0,2.0,2.0,9.0,26.0,0.7278,1110.0,2.0,8.0,42.62,26.0,0.0,0.0,5.83
2,5.69,5.44,5.67,26,9,36,1.53,17,4,20,1.0,1.0,1.0,2330,801,3230,89.62,89.0,89.72,137.0,162.0,4.0,5.375,5.444444444444445,7.0,5.0,3.5,6.0,0.0,4.5,7.0,6.0,4.0,6.0,0.0,7.5,6.0,8.0,0.0,4,9,5.0,1.0,2.0,4.0,10.0,24.0,0.621,1080.0,12.0,10.0,45.26,45.0,0.0,0.0,5.5
3,5.67,5.67,5.31,27,27,35,1.41,14,14,14,0.93,0.93,0.83,2224,2224,2615,82.37,82.37,74.71,159.0,187.0,6.0,4.333333333333333,5.9375,4.0,0.0,5.5,3.5,0.0,8.0,6.5,7.0,6.0,7.0,7.0,6.0,7.5,5.5,3.5,3,8,0.0,0.0,2.0,3.0,4.0,17.0,0.7636,980.0,4.0,9.0,39.55,11.0,0.0,0.0,4.0
4,5.93,5.93,5.76,29,29,42,1.09,13,13,15,0.97,0.97,0.88,2353,2353,3207,81.14,81.14,76.36,181.0,214.0,6.0,6.375,5.65,7.0,6.5,7.0,5.0,6.0,6.0,4.0,4.0,5.5,5.5,5.0,7.5,6.5,6.0,5.0,4,10,0.0,0.0,1.0,3.0,7.0,38.0,0.8249,1404.0,9.0,11.0,36.67,34.0,0.0,0.0,5.75
5,6.19,6.19,6.02,29,29,43,0.96,12,12,16,0.97,0.97,0.98,2440,2440,3604,84.14,84.14,83.81,203.0,225.0,6.0,5.875,6.1,5.0,8.0,5.0,5.5,5.0,7.5,6.5,5.0,7.5,6.0,5.0,7.0,7.0,5.0,6.0,4,10,2.0,0.0,1.0,10.0,6.0,34.0,0.796,1604.0,13.0,23.0,44.37,31.0,0.0,0.0,6.25
6,5.36,5.36,5.43,28,28,38,1.5,12,12,16,0.96,0.96,0.87,2411,2411,3010,86.11,86.11,79.21,201.0,188.0,6.0,5.833333333333333,5.277777777777778,6.0,0.0,2.5,9.0,6.0,6.5,7.0,3.0,4.5,3.0,4.5,5.0,7.5,4.0,7.0,3,9,0.0,0.0,1.0,7.0,10.0,32.0,0.771,1157.0,5.0,9.0,33.8,14.0,0.0,0.0,6.0
7,5.76,0.0,5.54,25,0,36,1.07,11,0,12,0.96,0.0,0.89,1996,0,2723,79.84,0.0,75.64,181.0,227.0,6.0,5.25,5.285714285714286,0.0,0.0,6.5,4.0,0.0,5.0,6.5,4.5,5.0,5.5,5.0,5.0,7.0,6.0,7.0,2,7,0.0,0.0,2.0,1.0,2.0,23.0,0.8383,1087.0,7.0,25.0,53.8,17.0,0.0,0.0,5.0
8,5.43,4.83,5.25,22,3,32,1.19,11,1,13,0.77,0.0,0.81,1394,72,2166,63.36,24.0,67.69,127.0,167.0,5.0,4.833333333333333,4.8,4.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,6.5,5.0,4.5,7.5,5.0,3,5,1.0,0.0,1.0,1.0,2.0,18.0,0.7237,624.0,5.0,5.0,34.04,18.0,0.0,0.0,5.5
9,5.43,5.88,5.35,28,13,40,1.15,11,8,15,0.96,1.0,0.98,2329,1066,3380,83.18,82.0,84.5,212.0,225.0,6.0,6.0,5.95,6.5,6.0,7.0,4.5,6.5,6.0,6.0,7.0,6.0,4.0,4.5,6.5,6.0,0.0,6.0,4,10,1.0,0.0,1.0,5.0,2.0,21.0,0.6962,789.0,8.0,9.0,38.85,19.0,0.0,0.0,4.5
10,5.29,0.0,5.29,21,0,21,1.6,11,0,11,1.0,0.0,1.0,1816,0,1816,86.48,0.0,86.48,165.0,165.0,6.0,4.0,3.9166666666666665,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.5,3.5,2.5,6.0,4.0,8.5,0.0,0.0,2,6,3.0,0.0,0.0,1.0,5.0,17.0,0.6016,850.0,3.0,7.0,45.18,31.0,0.0,0.0,8.0
11,6.36,6.33,6.12,28,21,42,1.11,10,6,13,1.0,1.0,1.0,2402,1815,3633,85.79,86.43,86.5,240.0,279.0,6.0,6.75,6.35,7.0,6.0,7.0,7.0,5.0,7.5,6.0,5.0,5.5,7.5,5.0,8.0,7.5,8.0,5.5,4,10,0.0,0.0,1.0,7.0,13.0,17.0,0.835,1721.0,4.0,18.0,43.75,24.0,0.0,0.0,5.25
