,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
0,0,Haaland Erling,A,48.0,119.0,6.23,7.25,6.23,28,2,28,1.47,0.35,1.47,32,4,32,0.96,1.0,0.96,2232,114,2232,79.71,57.0,79.71,70.0,70.0,4.5,1.5,12.0,6.0,0.0,1.0,5.0,9.0,16.0,0.7614,647.0,2.0,2.0,36.69,28.0,0.0,0.0,7.0,7.25,5.857142857142857,0.0,7.0,7.5,0.0,0.0,4.5,6.0,7.0,3.5,5.5,4.0,8.0,4.0,4.0,6.0,8.0,4.5,5.5,0.0,7.0,6.0,5.0,6.5,9.0,6.5,6.5,7.0,8.5,8.0,6.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7
1,1,Kane Harry,A,52.0,91.0,6.09,6.09,6.12,32,32,41,1.07,1.07,1.17,24,24,29,1.0,1.0,1.0,2866,2866,3676,89.56,89.56,89.66,119.0,127.0,5.0,2.17,10.0,4.0,0.0,2.0,2.0,9.0,28.0,0.7249,1219.0,2.0,10.0,43.02,28.0,0.0,0.0,4.0,5.625,5.7,5.0,4.5,7.0,6.0,6.0,7.0,5.0,6.5,6.0,4.0,6.5,7.0,6.0,8.5,5.0,6.0,7.0,6.0,5.0,7.0,4.0,7.0,6.5,5.5,7.0,5.0,7.0,5.5,8.0,6.5,6.5,5.5,8.0,5.0,5.0,6.5,5.0,4.0,4,10
2,2,Toney Ivan,A,36.0,59.0,5.63,5.38,5.59,30,13,38,1.49,1.21,1.47,19,6,20,1.0,1.0,1.0,2690,1161,3410,89.67,89.31,89.74,142.0,171.0,4.0,1.89,7.5,6.0,1.0,2.0,4.0,12.0,27.0,0.6281,1238.0,12.0,11.0,45.96,47.0,0.0,0.0,5.75,6.0,5.4,7.0,5.0,5.0,7.0,5.0,3.5,6.0,4.0,4.5,7.0,6.0,4.0,6.0,0.0,7.5,6.0,8.0,0.0,4.5,4.0,4.5,7.5,4.0,5.0,3.5,7.5,9.0,5.0,4.0,6.0,7.0,6.0,4.5,4.0,7.0,4.0,5.0,4.5,4,10
3,3,Mohamed Salah Mohamed,A,42.0,74.0,5.45,5.45,5.5,31,31,39,1.49,1.49,1.44,16,16,19,0.97,0.97,0.9,2672,2672,3172,86.19,86.19,81.33,167.0,167.0,5.0,2.63,8.5,0.0,0.0,1.0,7.0,11.0,34.0,0.7753,1356.0,5.0,9.0,33.76,16.0,0.0,0.0,6.0,6.25,6.222222222222222,6.5,7.5,5.0,6.0,0.0,2.5,9.0,6.0,6.5,7.0,3.0,4.5,3.0,4.5,5.0,7.5,4.0,7.0,6.5,4.0,5.0,6.0,4.5,4.5,4.5,7.0,5.0,6.5,4.5,6.0,4.5,6.0,7.0,0.0,5.0,4.5,6.0,4.5,4,9
4,4,Gabriel Martinelli,MO,25.0,45.0,6.0,6.0,5.81,32,32,42,1.07,1.07,1.16,15,15,16,0.97,0.97,0.88,2613,2613,3226,81.66,81.66,76.81,174.0,202.0,6.0,1.67,14.5,0.0,0.0,1.0,5.0,10.0,39.0,0.8223,1568.0,9.0,13.0,37.69,35.0,0.0,0.0,4.5,6.75,6.15,7.0,6.0,7.0,7.0,6.5,7.0,5.0,6.0,6.0,4.0,4.0,5.5,5.5,5.0,7.5,6.5,6.0,5.0,6.0,4.5,4.5,5.0,7.0,7.0,5.5,8.0,4.5,7.0,6.5,6.0,7.0,7.0,8.0,4.5,6.0,6.5,4.0,4.5,4,10
5,5,Rashford Marcus,A,29.0,74.0,5.71,0.0,5.4,29,0,35,1.37,0.0,1.45,15,0,15,0.93,0.0,0.86,2395,0,2692,82.59,0.0,76.91,160.0,179.0,6.0,1.93,11.5,0.0,0.0,2.0,4.0,5.0,21.0,0.7705,1074.0,5.0,9.0,38.37,12.0,0.0,0.0,3.5,5.0,5.714285714285714,0.0,0.0,6.0,4.0,0.0,5.5,3.5,6.5,8.0,6.5,7.0,6.0,7.0,7.0,6.0,7.5,5.5,3.5,6.5,4.5,5.5,4.5,6.0,4.0,6.0,5.0,8.5,6.0,5.0,7.0,4.0,3.5,0.0,4.5,0.0,0.0,4.5,4.0,2,7
6,6,Watkins Ollie,A,33.0,51.0,5.5,5.94,5.48,31,16,40,1.26,1.2,1.22,14,11,18,0.97,1.0,0.98,2598,1335,3387,83.81,83.44,84.68,186.0,188.0,6.0,2.36,11.5,1.0,0.0,1.0,6.0,3.0,23.0,0.7103,874.0,8.0,10.0,38.28,23.0,0.0,0.0,4.5,6.25,6.1,4.0,8.5,6.0,6.5,6.0,7.0,4.5,6.5,6.0,6.0,7.0,6.0,4.0,4.5,6.5,6.0,0.0,6.0,3.5,7.0,4.5,3.5,4.5,5.0,4.5,7.0,4.0,4.0,5.0,6.0,6.5,4.5,4.0,6.0,7.0,7.0,5.0,5.0,4,10
7,7,Saka Bukayo,A,38.0,68.0,6.09,6.09,5.95,32,32,42,1.15,1.15,1.24,13,13,15,0.97,0.97,0.98,2710,2710,3556,84.69,84.69,84.67,208.0,237.0,6.0,2.92,12.5,2.0,0.0,1.0,11.0,8.0,37.0,0.7934,1782.0,14.0,27.0,46.18,36.0,0.0,0.0,6.0,5.125,5.8,7.5,2.5,5.5,5.0,8.0,5.0,5.5,5.0,7.5,6.5,5.0,7.5,6.0,5.0,7.0,7.0,5.0,6.0,6.0,4.5,6.0,7.0,8.0,6.5,7.0,7.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,5.0,4.5,6.5,7.5,5.0,4,10
8,8,Ødegaard Martin,MO,36.0,50.0,6.31,6.27,6.13,31,24,41,1.09,1.09,1.13,12,8,14,1.0,1.0,1.0,2661,2074,3560,85.84,86.42,86.83,222.0,254.0,6.0,3.0,12.5,0.0,0.0,2.0,7.0,13.0,17.0,0.8365,1913.0,5.0,20.0,43.03,26.0,0.0,0.0,4.0,6.125,6.3,6.0,6.5,5.0,7.0,6.0,7.0,7.0,5.0,7.5,6.0,5.0,5.5,7.5,5.0,8.0,7.5,8.0,5.5,7.0,5.5,4.0,7.0,6.5,5.5,0.0,7.5,4.5,6.0,7.5,7.5,6.0,6.0,7.5,5.5,6.0,5.0,6.0,5.5,4,10
9,9,Almirón Miguel,MO,22.0,32.0,5.7,5.0,5.57,27,2,35,1.05,0.0,1.1,11,0,12,0.89,0.0,0.86,2054,58,2636,76.07,29.0,75.31,187.0,220.0,6.0,2.0,11.0,0.0,0.0,2.0,1.0,2.0,23.0,0.842,1124.0,7.0,26.0,53.07,18.0,0.0,0.0,5.0,5.0,5.333333333333333,5.0,5.0,0.0,0.0,0.0,6.5,4.0,0.0,5.0,6.5,4.5,5.0,5.5,5.0,5.0,7.0,6.0,7.0,7.5,7.0,6.0,4.5,7.0,8.0,5.0,0.0,5.0,4.5,5.5,6.0,5.0,6.0,5.0,6.0,3.0,4.0,5.5,5.0,2,6
