,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
0,5.58,5.77,5.58,31,11,31,1.19,7,3,7,0.94,1.0,0.94,2398,903,2398,77.35,82.09,77.35,343.0,343.0,6.5,5.75,5.7,3.5,5.5,8.0,6.0,4.5,7.0,7.5,4.0,5.5,5.5,6.5,0.0,5.0,4.0,5.0,4,10,0.0,0.0,2.0,1.0,5.0,15.0,0.778,1279.0,30.0,32.0,54.81,27.0,0.0,0.0,5.5
1,5.87,0.0,5.68,31,0,41,0.88,5,0,6,0.97,0.0,0.98,2566,0,3439,82.77,0.0,83.88,513.0,573.0,6.5,6.0,5.777777777777778,0.0,5.5,5.5,7.0,7.0,5.5,5.0,5.5,5.5,5.5,4.5,6.5,7.0,5.5,6.0,3,9,0.0,0.0,0.0,5.0,5.0,13.0,0.8609,1762.0,14.0,24.0,54.23,22.0,0.0,0.0,4.5
2,5.81,0.0,5.94,18,0,27,0.93,5,0,5,0.94,0.0,0.96,1504,0,2256,83.56,0.0,83.56,301.0,451.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0,1,0.0,0.0,1.0,2.0,0.0,4.0,0.8472,1122.0,20.0,28.0,53.01,24.0,0.0,0.0,4.5
3,5.6,5.5,5.46,29,1,34,1.14,5,0,5,0.97,0.0,0.97,2530,45,2922,87.24,45.0,85.94,506.0,584.0,6.0,5.25,5.75,5.5,0.0,0.0,5.0,6.0,5.5,6.0,5.5,6.0,6.5,8.0,3.5,7.0,6.0,4.0,2,8,2.0,0.0,2.0,0.0,1.0,11.0,0.8466,2201.0,42.0,36.0,52.73,29.0,0.0,0.0,5.0
4,5.42,5.42,5.36,32,32,40,1.09,5,5,5,1.0,1.0,0.9,2473,2473,2850,77.28,77.28,71.25,495.0,570.0,7.0,5.25,5.55,5.5,4.0,5.5,6.0,7.0,5.0,7.0,5.0,5.5,5.0,7.0,5.0,7.0,6.0,5.0,4,10,0.0,0.0,0.0,5.0,3.0,25.0,0.7448,1699.0,28.0,31.0,44.61,29.0,0.0,0.0,4.75
5,6.0,0.0,6.09,26,0,33,0.94,4,0,7,0.85,0.0,0.82,1938,0,2443,74.54,0.0,74.03,485.0,349.0,7.0,7.0,6.214285714285714,0.0,0.0,7.0,7.0,0.0,6.0,6.0,5.0,5.5,7.0,5.0,7.0,0.0,6.0,5.0,2,7,0.0,0.0,0.0,3.0,5.0,15.0,0.8625,1412.0,17.0,17.0,48.13,19.0,0.0,0.0,5.5
6,5.74,5.63,5.86,31,19,40,1.28,4,1,4,1.0,1.0,1.0,2773,1708,3583,89.45,89.89,89.58,693.0,896.0,5.5,4.875,5.3,3.5,4.5,6.0,5.5,5.0,5.5,5.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,4.0,4,10,0.0,0.0,1.0,5.0,4.0,6.0,0.8865,2504.0,44.0,27.0,53.09,31.0,0.0,0.0,4.5
7,5.58,5.62,5.45,31,30,40,1.06,4,4,5,0.87,0.9,0.85,2400,2392,3051,77.42,79.73,76.28,600.0,610.0,6.0,5.875,5.8,6.0,5.5,5.5,6.5,7.5,5.5,5.5,5.0,5.5,5.5,5.0,6.5,6.0,4.0,8.0,4,10,0.0,0.0,1.0,5.0,4.0,13.0,0.864,1872.0,37.0,35.0,52.69,39.0,0.0,0.0,4.0
8,5.86,5.57,6.01,25,7,34,1.19,3,0,7,1.0,1.0,0.97,2103,610,2848,84.12,87.14,83.76,701.0,407.0,6.5,5.875,5.571428571428571,7.5,3.5,6.0,6.5,6.5,4.5,4.5,0.0,0.0,0.0,0.0,4.5,5.5,5.5,4.5,4,7,0.0,0.0,2.0,4.0,2.0,11.0,0.8386,1631.0,26.0,28.0,56.95,33.0,0.0,0.0,6.0
9,5.84,5.84,5.81,31,31,39,1.05,3,3,3,1.0,1.0,0.97,2790,2790,3448,90.0,90.0,88.41,930.0,1149.0,7.5,6.5,5.888888888888889,8.0,5.5,6.0,6.5,0.0,6.0,3.0,8.0,4.5,5.5,6.0,6.0,6.0,5.5,6.0,4,9,0.0,0.0,2.0,1.0,2.0,11.0,0.8678,2171.0,53.0,34.0,57.14,21.0,0.0,0.0,5.75
10,5.83,5.63,5.73,27,8,28,0.91,3,1,3,0.93,0.88,0.93,2171,583,2245,80.41,72.88,80.18,724.0,748.0,6.0,5.25,5.666666666666667,5.5,4.0,6.0,5.5,6.0,7.0,6.0,5.0,0.0,6.0,4.5,5.5,7.0,5.5,5.5,4,9,0.0,0.0,2.0,0.0,1.0,9.0,0.8571,2055.0,26.0,38.0,57.38,31.0,0.0,0.0,0.0
11,5.71,5.0,5.71,28,4,28,0.87,3,0,3,1.0,1.0,1.0,2496,358,2496,89.14,89.5,89.14,832.0,832.0,6.5,5.0,5.5,5.0,5.5,4.5,5.0,0.0,0.0,0.0,6.0,6.0,6.5,6.5,4.0,5.5,7.0,7.5,4,7,0.0,0.0,1.0,0.0,0.0,4.0,0.8089,1449.0,36.0,64.0,60.94,33.0,0.0,0.0,5.5
12,5.58,5.58,5.55,32,32,42,0.77,3,3,5,1.0,1.0,1.0,2876,2876,3745,89.88,89.88,89.17,959.0,749.0,6.0,5.375,5.55,4.5,5.5,5.5,6.0,5.5,7.0,5.0,6.0,5.0,5.5,5.0,5.0,5.5,5.5,5.0,4,10,0.0,0.0,0.0,0.0,0.0,2.0,0.8909,2420.0,28.0,28.0,63.24,19.0,0.0,0.0,4.0
13,5.41,5.0,5.49,29,3,36,0.68,3,0,5,0.62,0.33,0.67,1695,114,2216,58.45,38.0,61.56,565.0,443.0,6.0,5.0,5.142857142857143,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,6.0,5.0,5.0,4.5,5.0,5.5,5.5,3,7,0.0,0.0,0.0,1.0,2.0,6.0,0.7586,999.0,20.0,24.0,57.31,17.0,0.0,0.0,6.75
14,5.29,5.19,5.39,26,8,33,1.18,3,0,3,1.0,1.0,1.0,2295,720,2925,88.27,90.0,88.64,765.0,975.0,7.5,4.75,5.1875,5.5,6.0,4.0,3.5,0.0,5.0,6.0,5.5,6.0,0.0,0.0,0.0,0.0,4.0,5.5,4,8,0.0,0.0,0.0,0.0,0.0,4.0,0.8967,2317.0,26.0,13.0,67.14,10.0,0.0,0.0,4.0
15,5.29,5.5,5.29,31,6,31,1.12,3,0,3,1.0,1.0,1.0,2715,516,2715,87.58,86.0,87.58,905.0,905.0,5.5,5.25,5.611111111111111,4.0,5.5,5.5,6.0,5.0,7.0,0.0,5.5,5.5,6.5,6.0,6.0,5.0,4.5,4.5,4,9,0.0,0.0,0.0,0.0,3.0,8.0,0.8075,1659.0,36.0,23.0,58.16,30.0,0.0,0.0,4.5
16,5.18,5.13,5.18,30,15,30,0.97,3,1,3,1.0,1.0,1.0,2416,1171,2416,80.53,78.07,80.53,805.0,805.0,6.5,5.375,5.111111111111111,5.5,7.0,3.5,5.5,0.0,3.5,4.5,5.5,5.0,6.0,5.0,4.5,5.5,6.0,4.0,4,9,0.0,0.0,0.0,2.0,1.0,11.0,0.7867,1367.0,17.0,22.0,41.78,31.0,0.0,0.0,5.0
17,5.16,5.26,5.16,31,19,31,1.05,3,2,3,1.0,1.0,1.0,2732,1702,2732,88.13,89.58,88.13,911.0,911.0,7.0,4.625,4.85,5.5,4.0,4.0,5.0,5.0,4.5,5.0,5.0,5.0,5.5,7.5,5.0,6.0,5.5,6.0,4,10,0.0,0.0,0.0,0.0,0.0,2.0,0.7291,1778.0,43.0,20.0,64.75,12.0,0.0,0.0,6.0
18,6.33,6.31,6.46,29,21,38,0.79,2,2,6,1.0,1.0,1.0,2460,1785,3243,84.83,85.0,85.34,1230.0,541.0,6.5,5.666666666666667,6.3125,0.0,5.5,5.5,6.0,0.0,7.0,7.0,5.5,6.0,8.0,4.5,6.5,6.0,6.0,5.5,3,8,0.0,0.0,0.0,6.0,8.0,6.0,0.9146,2894.0,28.0,36.0,59.32,39.0,0.0,0.0,6.75
19,5.63,6.0,5.67,20,1,27,1.27,2,0,3,0.8,1.0,0.81,1429,90,1858,71.45,90.0,68.81,715.0,619.0,7.0,6.0,4.333333333333333,0.0,6.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,4.5,0.0,6.5,7.0,5.5,1,3,0.0,0.0,0.0,3.0,6.0,8.0,0.7633,1234.0,27.0,30.0,58.06,36.0,0.0,0.0,0.0
20,5.48,0.0,5.41,27,0,35,0.9,2,0,2,1.0,0.0,1.0,2416,0,3136,89.48,0.0,89.6,1208.0,1568.0,7.5,0.0,5.4,0.0,0.0,0.0,0.0,0.0,6.5,5.5,5.5,5.5,4.0,5.0,5.5,6.0,5.5,5.0,0,5,0.0,0.0,0.0,1.0,1.0,2.0,0.9073,2093.0,19.0,20.0,60.34,19.0,0.0,0.0,3.5
21,5.46,5.41,5.44,24,23,27,1.08,2,2,2,1.0,1.0,1.0,2160,2070,2361,90.0,90.0,87.44,1080.0,1181.0,6.5,5.5,5.55,6.0,4.5,5.0,6.5,5.5,5.0,6.5,5.5,5.0,6.0,6.0,5.5,5.5,6.5,7.0,4,10,0.0,0.0,0.0,0.0,0.0,4.0,0.7527,1250.0,29.0,25.0,71.5,6.0,0.0,0.0,5.5
22,5.43,5.75,5.32,22,6,28,1.04,2,0,2,0.95,0.83,0.96,1836,471,2315,83.45,78.5,82.68,918.0,1158.0,3.0,6.125,5.75,7.0,4.5,7.0,6.0,0.0,5.5,4.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0,0.0,0.0,4.0,0.8184,993.0,22.0,4.0,69.07,12.0,0.0,0.0,5.0
23,5.34,5.34,5.18,32,32,38,0.79,2,2,2,0.94,0.94,0.95,2527,2527,3067,78.97,78.97,80.71,1264.0,1534.0,6.0,5.25,5.3,4.5,5.5,5.0,6.0,6.0,5.0,6.5,5.0,4.5,5.0,4.0,5.0,6.0,5.0,6.0,4,10,0.0,0.0,0.0,5.0,6.0,13.0,0.8306,2203.0,19.0,30.0,53.74,21.0,0.0,0.0,5.0
24,5.31,5.83,5.4,31,6,40,0.87,2,1,3,0.9,1.0,0.85,2357,479,2915,76.03,79.83,72.88,1179.0,972.0,6.0,6.0,5.666666666666667,5.0,6.0,8.0,5.0,6.0,5.0,0.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,4,9,0.0,0.0,0.0,1.0,3.0,8.0,0.7467,1200.0,23.0,41.0,48.04,46.0,0.0,0.0,6.0
25,5.25,0.0,5.38,22,0,29,1.1,2,0,3,0.91,0.0,0.93,1791,0,2421,81.41,0.0,83.48,896.0,807.0,6.0,5.5,5.285714285714286,0.0,0.0,6.0,5.0,4.0,7.0,6.0,4.0,5.0,0.0,0.0,0.0,5.0,4.0,5.0,2,7,0.0,0.0,0.0,1.0,0.0,1.0,0.8538,1694.0,28.0,28.0,57.69,22.0,0.0,0.0,0.0
26,5.23,0.0,5.32,26,0,31,0.65,2,0,2,0.73,0.0,0.77,1688,0,2093,64.92,0.0,67.52,844.0,1047.0,6.0,5.0,4.9,0.0,5.5,0.0,4.5,4.5,0.0,0.0,5.0,5.0,0.0,5.0,6.5,5.5,0.0,5.0,2,5,2.0,0.0,0.0,0.0,0.0,2.0,0.8435,1481.0,24.0,28.0,53.97,15.0,0.0,0.0,5.0
27,5.23,0.0,5.31,22,0,31,0.92,2,0,3,0.73,0.0,0.81,1392,0,2171,63.27,0.0,70.03,696.0,724.0,5.5,0.0,5.6,0.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,7.0,5.0,6.0,6.0,0.0,5.0,5.0,0,5,0.0,0.0,0.0,1.0,0.0,15.0,0.7907,1093.0,12.0,27.0,57.47,18.0,0.0,0.0,0.0
28,5.23,5.58,5.24,28,6,37,0.81,2,1,2,0.43,0.33,0.54,1150,285,1797,41.07,47.5,48.57,575.0,899.0,6.5,5.666666666666667,5.4375,0.0,7.0,5.5,4.5,4.5,7.0,5.0,0.0,5.0,5.0,5.5,5.0,6.0,5.0,4.5,3,8,0.0,0.0,2.0,1.0,5.0,9.0,0.7849,922.0,17.0,22.0,46.83,24.0,0.0,0.0,0.0
29,5.12,5.75,5.17,29,2,39,1.04,2,0,3,0.93,0.5,0.95,2230,107,3103,76.9,53.5,79.56,1115.0,1034.0,6.0,5.166666666666667,4.944444444444445,6.0,5.5,0.0,4.0,4.5,4.0,4.5,5.5,4.5,6.0,5.5,5.0,0.0,0.0,7.0,3,9,0.0,0.0,1.0,2.0,3.0,5.0,0.7786,1522.0,27.0,28.0,52.94,35.0,0.0,0.0,7.0
30,5.0,0.0,5.12,25,0,34,0.87,2,0,3,0.84,0.0,0.88,1832,0,2634,73.28,0.0,77.47,916.0,878.0,5.0,0.0,5.166666666666667,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,6.5,3.5,5.0,6.0,5.0,5.0,3.0,0,6,0.0,0.0,1.0,2.0,4.0,5.0,0.8301,1250.0,16.0,9.0,48.85,26.0,0.0,0.0,4.0
31,5.0,4.85,5.0,20,10,21,0.84,2,1,2,0.6,0.7,0.57,1153,658,1154,57.65,65.8,54.95,577.0,577.0,7.0,4.166666666666667,4.833333333333333,0.0,4.0,5.0,3.5,4.5,7.0,5.5,4.0,4.5,5.5,5.0,0.0,0.0,0.0,0.0,3,9,0.0,0.0,0.0,2.0,1.0,10.0,0.7665,963.0,15.0,17.0,51.15,13.0,0.0,0.0,4.5
32,4.93,4.25,5.06,30,6,39,1.18,2,0,2,0.97,1.0,0.97,2635,540,3445,87.83,90.0,88.33,1318.0,1723.0,6.0,4.0,4.611111111111111,2.0,3.5,5.5,5.0,4.5,5.0,0.0,7.0,6.0,3.0,5.5,6.0,4.0,6.0,0.0,4,9,0.0,0.0,0.0,1.0,3.0,5.0,0.8613,2155.0,32.0,17.0,61.62,24.0,0.0,0.0,4.0
33,4.79,4.87,4.82,31,27,41,0.96,2,1,2,0.97,0.96,0.95,2717,2357,3508,87.65,87.3,85.56,1359.0,1754.0,5.5,5.125,4.8,7.0,4.0,4.5,5.0,5.5,4.0,4.0,4.5,4.0,5.5,5.5,4.5,3.5,5.0,4.5,4,10,0.0,0.0,0.0,3.0,6.0,14.0,0.8,1981.0,40.0,40.0,52.61,21.0,0.0,0.0,5.5
