,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
0,28,Billing Philip,MD,13.0,15.0,5.58,5.77,5.58,31,11,31,1.19,1.42,1.19,7,3,7,0.94,1.0,0.94,2398,903,2398,77.35,82.09,77.35,343.0,343.0,6.5,1.86,7.5,0.0,0.0,2.0,1.0,5.0,15.0,0.778,1279.0,30.0,32.0,54.81,27.0,0.0,0.0,5.5,5.75,5.7,3.5,5.5,8.0,6.0,4.5,7.0,7.5,4.0,5.5,5.5,6.5,0.0,5.0,4.0,5.0,5.0,6.0,6.5,5.5,4.5,5.5,6.5,7.0,5.5,7.0,4.5,7.0,4.5,5.0,3.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,19.870267183969528,6.870267183969528
1,38,Xhaka Granit,MD,22.0,24.0,5.87,0.0,5.68,31,0,41,0.88,0.0,0.97,5,0,6,0.97,0.0,0.98,2566,0,3439,82.77,0.0,83.88,513.0,573.0,6.5,4.4,12.5,0.0,0.0,0.0,5.0,5.0,13.0,0.8609,1762.0,14.0,24.0,54.23,22.0,0.0,0.0,4.5,6.0,5.777777777777778,0.0,5.5,5.5,7.0,7.0,5.5,5.0,5.5,5.5,5.5,4.5,6.5,7.0,5.5,6.0,7.0,5.0,6.0,6.0,7.0,4.5,5.5,5.0,7.0,7.0,7.0,4.5,4.5,5.0,6.5,6.5,6.5,4.5,4.5,6.0,4.5,7.0,6.0,3,9,24.199175503036017,2.1991755030360167
2,39,Bentancur Rodrigo,MD,1.0,6.0,5.81,0.0,5.94,18,0,27,0.93,0.0,0.95,5,0,5,0.94,0.0,0.96,1504,0,2256,83.56,0.0,83.56,301.0,451.0,6.0,0.2,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.8472,1122.0,20.0,28.0,53.01,24.0,0.0,0.0,4.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,7.0,6.0,7.0,6.0,4.5,5.5,5.5,4.5,8.0,4.5,5.5,0.0,6.0,6.0,5.0,6.5,8.5,6.0,6.0,6.0,5.5,5.0,0,1,3.7789375420248814,2.7789375420248814
3,42,Rúben Neves,MD,24.0,26.0,5.6,5.5,5.46,29,1,34,1.14,0.0,1.12,5,0,5,0.97,0.0,0.97,2530,45,2922,87.24,45.0,85.94,506.0,584.0,6.0,4.8,6.0,2.0,0.0,2.0,0.0,1.0,11.0,0.8466,2201.0,42.0,36.0,52.73,29.0,0.0,0.0,5.0,5.25,5.75,5.5,0.0,0.0,5.0,6.0,5.5,6.0,5.5,6.0,6.5,8.0,3.5,7.0,6.0,4.0,5.5,4.5,6.0,7.0,3.0,5.0,6.0,0.0,4.0,4.5,5.0,6.0,6.0,7.5,6.5,5.5,6.0,4.5,5.0,5.0,4.5,0.0,4.0,2,8,18.818272959810997,-5.181727040189003
4,45,Jensen Mathias,MD,19.0,20.0,5.42,5.42,5.36,32,32,40,1.09,1.09,1.03,5,5,5,1.0,1.0,0.9,2473,2473,2850,77.28,77.28,71.25,495.0,570.0,7.0,3.8,6.5,0.0,0.0,0.0,5.0,3.0,25.0,0.7448,1699.0,28.0,31.0,44.61,29.0,0.0,0.0,4.75,5.25,5.55,5.5,4.0,5.5,6.0,7.0,5.0,7.0,5.0,5.5,5.0,7.0,5.0,7.0,6.0,5.0,4.5,5.0,6.0,5.0,3.0,5.0,5.5,3.0,6.0,4.0,6.0,6.0,5.0,5.5,5.5,8.0,5.0,5.0,6.5,6.0,4.5,5.0,5.0,4,10,17.856955609992784,-1.1430443900072156
5,53,Gündogan Ilkay,MD,27.0,28.0,6.0,0.0,6.09,26,0,33,0.94,0.0,0.89,4,0,7,0.85,0.0,0.82,1938,0,2443,74.54,0.0,74.03,485.0,349.0,7.0,6.75,10.0,0.0,0.0,0.0,3.0,5.0,15.0,0.8625,1412.0,17.0,17.0,48.13,19.0,0.0,0.0,5.5,7.0,6.214285714285714,0.0,0.0,7.0,7.0,0.0,6.0,6.0,5.0,5.5,7.0,5.0,7.0,0.0,6.0,5.0,5.0,4.5,7.0,5.5,0.0,6.0,6.0,0.0,5.5,5.0,5.0,5.5,8.0,6.5,7.0,7.5,5.5,7.0,0.0,6.0,7.0,5.5,6.5,2,7,24.703738870768024,-2.2962611292319757
6,54,Højbjerg Pierre-Emile,MD,29.0,34.0,5.74,5.63,5.86,31,19,40,1.28,1.33,1.21,4,1,4,1.0,1.0,1.0,2773,1708,3583,89.45,89.89,89.58,693.0,896.0,5.5,7.25,9.0,0.0,0.0,1.0,5.0,4.0,6.0,0.8865,2504.0,44.0,27.0,53.09,31.0,0.0,0.0,4.5,4.875,5.3,3.5,4.5,6.0,5.5,5.0,5.5,5.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,4.0,7.0,3.5,5.5,6.0,0.0,4.5,5.5,6.5,4.5,8.0,4.0,6.5,5.5,7.0,6.0,7.5,5.5,7.5,6.0,6.0,6.0,6.0,5.0,4,10,23.97045177007452,-5.0295482299254815
7,57,Douglas Luiz,MD,16.0,16.0,5.58,5.62,5.45,31,30,40,1.06,1.06,1.03,4,4,5,0.87,0.9,0.85,2400,2392,3051,77.42,79.73,76.28,600.0,610.0,6.0,4.0,11.0,0.0,0.0,1.0,5.0,4.0,13.0,0.864,1872.0,37.0,35.0,52.69,39.0,0.0,0.0,4.0,5.875,5.8,6.0,5.5,5.5,6.5,7.5,5.5,5.5,5.0,5.5,5.5,5.0,6.5,6.0,4.0,8.0,5.0,5.5,5.5,3.5,8.0,4.0,4.5,5.5,6.5,5.5,5.5,5.0,6.5,4.5,6.0,0.0,4.5,4.0,5.0,5.0,5.0,5.0,6.5,4,10,18.747942185925627,2.747942185925627
8,82,Bruno Guimarães,MD,16.0,21.0,5.86,5.57,6.01,25,7,34,1.19,1.43,1.32,3,0,7,1.0,1.0,0.97,2103,610,2848,84.12,87.14,83.76,701.0,407.0,6.5,5.33,11.5,0.0,0.0,2.0,4.0,2.0,11.0,0.8386,1631.0,26.0,28.0,56.95,33.0,0.0,0.0,6.0,5.875,5.571428571428571,7.5,3.5,6.0,6.5,6.5,4.5,4.5,0.0,0.0,0.0,0.0,4.5,5.5,5.5,4.5,7.0,5.0,6.5,7.0,5.0,6.0,6.0,8.0,7.0,4.5,7.5,0.0,0.0,0.0,5.0,6.0,7.0,6.0,8.0,3.0,5.5,8.0,8.0,4,7,22.693736350607008,6.693736350607008
9,83,Rice Declan,MD,27.0,31.0,5.84,5.84,5.81,31,31,39,1.05,1.05,1.0,3,3,3,1.0,1.0,0.97,2790,2790,3448,90.0,90.0,88.41,930.0,1149.0,7.5,9.0,8.0,0.0,0.0,2.0,1.0,2.0,11.0,0.8678,2171.0,53.0,34.0,57.14,21.0,0.0,0.0,5.75,6.5,5.888888888888889,8.0,5.5,6.0,6.5,0.0,6.0,3.0,8.0,4.5,5.5,6.0,6.0,6.0,5.5,6.0,5.0,5.0,5.0,5.5,7.0,6.5,7.5,5.5,7.0,5.5,4.5,6.0,6.5,6.5,5.5,4.5,5.5,5.5,6.0,7.5,5.5,4.5,5.5,4,9,25.753380625139183,-1.246619374860817
