,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,Cleansheet,Pass decis.,Occas° créée,Passes,Ballons,Fautes,But évité,Action stoppée,DMI
0,7.0,0.0,6.17,1,0,3,0.0,1.0,0.0,1.0,90,0,270,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,6.5,0.0,5.58,1,0,13,0.0,0.0,0.0,0.92,66,0,1146,66.0,0.0,88.15,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
2,6.0,6.0,6.0,26,26,27,0.98,1.0,1.0,1.0,2340,2340,2430,90.0,90.0,90.0,0.0,0.0,4.666666666666667,5.611111111111111,5.5,0.0,4.0,4.5,5.0,8.0,6.0,6.0,5.5,6.0,7.0,5.5,6.0,6.0,5.5,3,9,7.0,0.0,0.0,0.0,0.0,0.0,78.0,25.0,0.0
3,5.84,5.84,5.76,28,28,38,1.23,1.0,1.0,1.0,2520,2520,3420,90.0,90.0,90.0,0.0,0.0,5.625,6.0,7.0,4.5,5.5,5.5,0.0,5.5,6.0,7.0,7.0,6.0,6.0,7.5,6.0,7.0,6.0,4,9,9.0,0.0,0.0,0.0,0.0,0.0,65.0,54.0,5.5
4,5.8,5.0,5.8,5,3,5,1.3,1.0,1.0,1.0,450,270,450,90.0,90.0,90.0,0.0,0.0,5.0,5.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
5,5.74,5.74,5.74,27,27,39,1.1,1.0,1.0,1.0,2362,2362,3442,87.48,87.48,88.26,0.0,0.0,5.25,5.0,6.0,5.0,6.0,4.0,0.0,2.5,6.0,4.0,6.0,5.5,7.0,6.0,6.0,6.0,5.5,4,9,13.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,7.5
6,5.68,5.68,5.72,28,28,39,1.11,1.0,1.0,1.0,2520,2520,3510,90.0,90.0,90.0,0.0,0.0,5.0,5.388888888888889,3.5,0.0,4.5,7.0,6.0,7.5,6.0,4.0,6.0,4.0,4.5,5.5,6.5,6.0,6.5,3,9,11.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,5.0
7,5.65,5.5,5.69,27,1,34,1.26,1.0,1.0,1.0,2430,90,3060,90.0,90.0,90.0,0.0,0.0,5.5,6.0,5.5,0.0,6.0,5.0,6.0,6.0,7.0,5.5,7.5,5.5,2.5,6.5,6.0,5.5,5.0,3,9,6.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,6.0
8,5.62,5.38,5.62,21,13,21,1.13,1.0,1.0,1.0,1845,1170,1845,87.86,90.0,87.86,0.0,0.0,4.875,5.3,3.5,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.5,7.0,5.0,6.0,6.0,0.0,0.0,4,10,9.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,6.0
9,5.57,5.73,5.47,27,11,38,1.26,1.0,1.0,1.0,2375,990,3365,87.96,90.0,88.55,0.0,0.0,6.5,5.75,8.0,6.0,6.0,6.0,7.0,2.5,5.5,3.0,7.5,6.0,5.5,0.0,0.0,5.0,6.0,4,10,8.0,0.0,0.0,0.0,0.0,0.0,54.0,24.0,5.0
