,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,Cleansheet,Pass decis.,Occas° créée,Passes,Ballons,Fautes,But évité,Action stoppée,DMI
0,7.0,0.0,5.5,1,0,2,0.0,1.0,0.0,1.0,90,0,180,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,7.0,7.0,7.0,3,3,3,0.5,1.0,1.0,1.0,270,270,270,90.0,90.0,90.0,0.0,0.0,7.0,7.0,7.5,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0
2,6.5,0.0,5.6,1,0,10,0.0,0.0,0.0,0.9,66,0,876,66.0,0.0,87.6,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
3,6.02,6.02,6.02,29,29,29,0.93,1.0,1.0,1.0,2610,2610,2610,90.0,90.0,90.0,0.0,0.0,6.0,5.722222222222222,6.0,6.5,6.0,5.5,0.0,4.0,4.5,5.0,8.0,6.0,6.0,5.5,6.0,7.0,5.5,4,9,7.0,0.0,0.0,0.0,0.0,0.0,86.0,30.0,0.0
4,5.72,5.72,5.69,32,32,40,1.22,1.0,1.0,1.0,2880,2880,3600,90.0,90.0,90.0,0.0,0.0,5.375,5.35,4.5,6.0,4.0,7.0,4.5,5.5,5.5,5.0,5.5,6.0,7.0,7.0,6.0,6.0,7.5,4,10,9.0,0.0,0.0,0.0,0.0,0.0,73.0,59.0,6.75
5,5.69,5.69,5.75,31,31,42,1.19,1.0,1.0,1.0,2722,2722,3712,87.81,87.81,88.38,0.0,0.0,5.875,5.222222222222222,5.5,4.0,8.0,6.0,5.0,6.0,4.0,0.0,2.5,6.0,4.0,6.0,5.5,7.0,6.0,4,9,13.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,7.5
6,5.67,5.5,5.67,23,15,23,1.11,1.0,1.0,1.0,2025,1350,2025,88.04,90.0,88.04,0.0,0.0,5.333333333333333,5.111111111111111,0.0,7.0,5.5,3.5,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.5,7.0,5.0,6.0,3,9,9.0,0.0,0.0,0.0,0.0,0.0,44.0,28.0,6.0
7,5.66,5.66,5.66,31,31,40,1.05,1.0,1.0,1.0,2790,2790,3600,90.0,90.0,90.0,0.0,0.0,5.0,5.666666666666667,5.5,5.5,5.5,3.5,0.0,4.5,7.0,6.0,7.5,6.0,4.0,6.0,4.0,4.5,5.5,4,9,11.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,5.0
8,5.65,0.0,5.67,27,0,33,1.26,1.0,0.0,1.0,2430,0,2970,90.0,0.0,90.0,0.0,0.0,5.5,5.916666666666667,0.0,0.0,0.0,5.5,0.0,6.0,5.0,6.0,6.0,7.0,5.5,7.5,5.5,2.5,6.5,1,6,6.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,6.0
9,5.63,5.82,5.55,30,14,38,1.21,1.0,1.0,1.0,2600,1215,3320,86.67,86.79,87.37,0.0,0.0,6.625,5.95,6.0,6.5,6.0,8.0,6.0,6.0,6.0,7.0,2.5,5.5,3.0,7.5,6.0,5.5,0.0,4,10,10.0,0.0,0.0,0.0,0.0,0.0,57.0,27.0,5.0
