,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
0,29,Billing Philip,MD,13.0,15.0,5.57,5.81,5.57,28,8,28,1.09,1.19,1.09,6,2,6,0.93,1.0,0.93,2139,644,2139,76.39,80.5,76.39,357.0,357.0,6.5,2.17,6.5,0.0,0.0,1.0,1.0,4.0,13.0,0.7738,1108.0,27.0,31.0,55.65,26.0,0.0,0.0,7.0,6.25,5.722222222222222,6.0,4.5,7.0,7.5,4.0,5.5,5.5,6.5,0.0,5.0,4.0,5.0,5.0,6.0,6.5,5.5,4.5,5.5,6.5,7.0,5.5,7.0,4.5,7.0,4.5,5.0,3.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,13.0,0.0,0.0,Haaland Erling,A,48.0,125.0,6.15,0.0,6.15,26.0,0.0,26.0,1.5,0.0,1.5,28.0,0.0,28.0,0.96,0.0,0.96,2118.0,0.0,2118.0,81.46,0.0,81.46,76.0,76.0,4.5,1.71,11.0,5.0,0.0,1.0,5.0,9.0,15.0,0.7655,622.0,2.0,2.0,36.65,27.0,0.0,0.0,7.0,5.25,5.3125,0.0,0.0,4.5,6.0,7.0,3.5,5.5,4.0,8.0,4.0,4.0,6.0,8.0,4.5,5.5,0.0,7.0,6.0,5.0,6.5,9.0,6.5,6.5,7.0,8.5,8.0,6.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,45.90346450734194,-2.096535492658063,223.0,Begovic Asmir,G,7.0,8.0,7.0,0.0,6.17,1.0,0.0,3.0,0.0,0.0,1.89,0.0,0.0,0.0,1.0,0.0,1.0,90.0,0.0,270.0,90.0,0.0,90.0,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.260244678115213,-0.739755321884787
1,36,Xhaka Granit,MD,22.0,25.0,5.9,5.9,5.66,29,29,43,0.91,0.91,0.97,5,5,6,0.97,0.97,0.98,2386,2386,3619,82.28,82.28,84.16,477.0,603.0,6.5,4.4,12.5,0.0,0.0,0.0,5.0,5.0,12.0,0.8606,1645.0,13.0,21.0,53.3,20.0,0.0,0.0,4.75,6.125,5.9,7.0,7.0,5.5,5.0,5.5,5.5,5.5,4.5,6.5,7.0,5.5,6.0,7.0,5.0,6.0,6.0,7.0,4.5,5.5,5.0,7.0,7.0,7.0,4.5,4.5,5.0,6.5,6.5,6.5,4.5,4.5,6.0,4.5,7.0,6.0,4.5,5.0,6.0,4,10,22.0,0.0,1.0,Kane Harry,A,52.0,93.0,6.16,6.16,6.24,29.0,29.0,42.0,1.04,1.04,1.15,22.0,22.0,31.0,1.0,1.0,1.0,2596.0,2596.0,3766.0,89.52,89.52,89.67,118.0,121.0,5.0,2.36,10.0,4.0,0.0,2.0,2.0,9.0,26.0,0.7278,1110.0,2.0,8.0,42.62,26.0,0.0,0.0,5.83,6.0,6.0,6.0,6.0,7.0,5.0,6.5,6.0,4.0,6.5,7.0,6.0,8.5,5.0,6.0,7.0,6.0,5.0,7.0,4.0,7.0,6.5,5.5,7.0,5.0,7.0,5.5,8.0,6.5,6.5,5.5,8.0,5.0,5.0,6.5,5.0,4.0,8.0,6.5,7.0,4.0,10.0,52.34327128225427,0.34327128225427117,224.0,Dúbravka Martin,G,7.0,8.0,6.5,0.0,5.58,1.0,0.0,13.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.92,66.0,0.0,1146.0,66.0,0.0,88.15,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,2.5,8.0,6.0,6.0,6.5,2.0,6.0,0.0,1.0,7.577685079831639,0.5776850798316389
2,37,Bentancur Rodrigo,MD,1.0,22.0,5.81,0.0,5.76,18,0,31,0.93,0.0,1.39,5,0,5,0.94,0.0,0.97,1504,0,2524,83.56,0.0,81.42,301.0,505.0,6.0,0.2,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.8472,1122.0,20.0,28.0,53.01,24.0,0.0,0.0,3.5,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,7.0,6.0,7.0,6.0,4.5,5.5,5.5,4.5,8.0,4.5,5.5,0.0,6.0,6.0,5.0,6.5,8.5,6.0,6.0,6.0,5.5,5.0,6.0,6.0,6.0,0,3,12.19,11.19,2.0,Toney Ivan,A,36.0,61.0,5.69,5.44,5.67,26.0,9.0,36.0,1.53,1.26,1.52,17.0,4.0,20.0,1.0,1.0,1.0,2330.0,801.0,3230.0,89.62,89.0,89.72,137.0,162.0,4.0,2.12,7.5,5.0,1.0,2.0,4.0,10.0,24.0,0.621,1080.0,12.0,10.0,45.26,45.0,0.0,0.0,5.5,5.375,5.444444444444445,7.0,5.0,3.5,6.0,0.0,4.5,7.0,6.0,4.0,6.0,0.0,7.5,6.0,8.0,0.0,4.5,4.0,4.5,7.5,4.0,5.0,3.5,7.5,9.0,5.0,4.0,6.0,7.0,6.0,4.5,4.0,7.0,4.0,5.0,4.5,7.5,7.0,4.5,4.0,9.0,39.42520199855369,3.425201998553689,225.0,Leno Bernd,G,16.0,24.0,6.0,6.0,6.0,26.0,26.0,27.0,0.98,0.98,0.96,0.0,0.0,0.0,1.0,1.0,1.0,2340.0,2340.0,2430.0,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,25.0,0.0,4.666666666666667,5.611111111111111,5.5,0.0,4.0,4.5,5.0,8.0,6.0,6.0,5.5,6.0,7.0,5.5,6.0,6.0,5.5,7.0,6.0,7.5,5.5,5.0,6.0,5.0,8.0,7.0,6.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,14.503573819435267,-1.4964261805647325
3,39,Rúben Neves,MD,24.0,26.0,5.61,5.58,5.54,28,19,36,1.16,1.23,1.2,5,4,6,1.0,1.0,1.0,2485,1675,3082,88.75,88.16,85.61,497.0,514.0,6.0,4.8,6.0,2.0,0.0,2.0,0.0,1.0,10.0,0.8433,2144.0,41.0,36.0,53.21,28.0,0.0,0.0,5.0,5.625,5.9,5.0,6.0,5.5,6.0,5.5,6.0,6.5,8.0,3.5,7.0,6.0,4.0,5.5,4.5,6.0,7.0,3.0,5.0,6.0,0.0,4.0,4.5,5.0,6.0,6.0,7.5,6.5,5.5,6.0,4.5,5.0,5.0,4.5,0.0,4.0,0.0,0.0,4.5,4,10,21.18,-2.8200000000000003,3.0,Rashford Marcus,A,29.0,95.0,5.67,5.67,5.31,27.0,27.0,35.0,1.41,1.41,1.44,14.0,14.0,14.0,0.93,0.93,0.83,2224.0,2224.0,2615.0,82.37,82.37,74.71,159.0,187.0,6.0,2.07,9.5,0.0,0.0,2.0,3.0,4.0,17.0,0.7636,980.0,4.0,9.0,39.55,11.0,0.0,0.0,4.0,4.333333333333333,5.9375,4.0,0.0,5.5,3.5,0.0,8.0,6.5,7.0,6.0,7.0,7.0,6.0,7.5,5.5,3.5,6.5,4.5,5.5,4.5,6.0,4.0,6.0,5.0,8.5,6.0,5.0,7.0,4.0,3.5,0.0,4.5,0.0,0.0,4.5,4.0,4.0,4.0,2.5,3.0,8.0,28.761794578387445,-0.2382054216125553,226.0,Raya David,G,18.0,24.0,5.84,5.84,5.76,28.0,28.0,38.0,1.23,1.23,1.18,0.0,0.0,0.0,1.0,1.0,1.0,2520.0,2520.0,3420.0,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,54.0,5.5,5.625,6.0,7.0,4.5,5.5,5.5,0.0,5.5,6.0,7.0,7.0,6.0,6.0,7.5,6.0,7.0,6.0,6.0,4.0,7.0,8.0,2.0,5.5,4.0,6.0,6.0,5.0,6.0,5.5,7.0,5.0,4.0,6.0,7.0,4.0,5.5,5.5,6.0,6.5,4.5,4.0,9.0,16.856436651248906,-1.143563348751094
4,40,Jensen Mathias,MD,19.0,19.0,5.48,5.48,5.38,28,28,38,1.13,1.13,1.04,5,5,5,1.0,1.0,0.87,2171,2171,2647,77.54,77.54,69.66,434.0,529.0,7.0,3.8,6.5,0.0,0.0,0.0,5.0,3.0,22.0,0.7452,1504.0,27.0,27.0,44.68,24.0,0.0,0.0,6.25,6.25,6.055555555555555,6.0,7.0,5.0,7.0,0.0,5.5,5.0,7.0,5.0,7.0,6.0,5.0,4.5,5.0,6.0,5.0,3.0,5.0,5.5,3.0,6.0,4.0,6.0,6.0,5.0,5.5,5.5,8.0,5.0,5.0,6.5,6.0,4.5,5.0,5.0,4.5,4.5,5.0,4,9,19.0,0.0,4.0,Gabriel Martinelli,MO,25.0,40.0,5.93,5.93,5.76,29.0,29.0,42.0,1.09,1.09,1.17,13.0,13.0,15.0,0.97,0.97,0.88,2353.0,2353.0,3207.0,81.14,81.14,76.36,181.0,214.0,6.0,1.92,14.5,0.0,0.0,1.0,3.0,7.0,38.0,0.8249,1404.0,9.0,11.0,36.67,34.0,0.0,0.0,5.75,6.375,5.65,7.0,6.5,7.0,5.0,6.0,6.0,4.0,4.0,5.5,5.5,5.0,7.5,6.5,6.0,5.0,6.0,4.5,4.5,5.0,7.0,7.0,5.5,8.0,4.5,7.0,6.5,6.0,7.0,7.0,8.0,4.5,6.0,6.5,4.0,4.5,4.0,4.5,0.0,4.0,10.0,33.971412562343794,8.971412562343794,227.0,Steele Jason,G,13.0,13.0,5.8,5.0,5.8,5.0,3.0,5.0,1.3,1.0,1.3,0.0,0.0,0.0,1.0,1.0,1.0,450.0,270.0,450.0,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,5.0,5.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.197810928365424,-1.8021890716345759
5,46,Gündogan Ilkay,MD,27.0,30.0,5.96,6.06,6.09,25,8,33,0.93,0.86,0.89,4,2,7,0.84,0.88,0.79,1848,601,2363,73.92,75.13,71.61,462.0,338.0,7.0,6.75,10.0,0.0,0.0,0.0,3.0,5.0,13.0,0.8613,1321.0,15.0,15.0,46.94,18.0,0.0,0.0,5.5,6.333333333333333,6.0625,7.0,0.0,6.0,6.0,5.0,5.5,7.0,5.0,7.0,0.0,6.0,5.0,5.0,4.5,7.0,5.5,0.0,6.0,6.0,0.0,5.5,5.0,5.0,5.5,8.0,6.5,7.0,7.5,5.5,7.0,0.0,6.0,7.0,5.5,6.5,0.0,7.0,6.0,3,8,27.0,0.0,5.0,Saka Bukayo,A,38.0,73.0,6.19,6.19,6.02,29.0,29.0,43.0,0.96,0.96,1.12,12.0,12.0,16.0,0.97,0.97,0.98,2440.0,2440.0,3604.0,84.14,84.14,83.81,203.0,225.0,6.0,3.17,12.5,2.0,0.0,1.0,10.0,6.0,34.0,0.796,1604.0,13.0,23.0,44.37,31.0,0.0,0.0,6.25,5.875,6.1,5.0,8.0,5.0,5.5,5.0,7.5,6.5,5.0,7.5,6.0,5.0,7.0,7.0,5.0,6.0,6.0,4.5,6.0,7.0,8.0,6.5,7.0,7.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,5.0,4.5,6.5,7.5,5.0,5.0,3.5,7.0,4.0,10.0,35.34180663963626,-2.6581933603637395,229.0,Pope Nick,G,17.0,24.0,5.74,5.74,5.74,27.0,27.0,39.0,1.1,1.1,1.08,0.0,0.0,0.0,1.0,1.0,1.0,2362.0,2362.0,3442.0,87.48,87.48,88.26,0.0,0.0,0.0,1000.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,7.5,5.25,5.0,6.0,5.0,6.0,4.0,0.0,2.5,6.0,4.0,6.0,5.5,7.0,6.0,6.0,6.0,5.5,6.0,6.0,5.5,6.0,6.0,4.5,5.0,0.0,8.0,6.0,6.0,7.0,7.5,6.0,5.5,7.0,4.0,5.5,7.0,6.5,5.0,5.5,6.5,4.0,9.0,16.21293191229512,-0.7870680877048812
6,47,Højbjerg Pierre-Emile,MD,29.0,38.0,5.86,5.81,6.01,28,16,41,1.25,1.3,1.14,4,1,4,1.0,1.0,1.0,2503,1438,3673,89.39,89.88,89.59,626.0,918.0,5.5,7.25,9.0,0.0,0.0,1.0,3.0,3.0,5.0,0.8881,2291.0,42.0,23.0,54.03,29.0,0.0,0.0,6.17,5.25,5.9,5.5,5.0,5.5,5.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,4.0,7.0,3.5,5.5,6.0,0.0,4.5,5.5,6.5,4.5,8.0,4.0,6.5,5.5,7.0,6.0,7.5,5.5,7.5,6.0,6.0,6.0,6.0,5.0,7.5,5.5,6.0,4,10,29.0,0.0,6.0,Mohamed Salah Mohamed,A,42.0,71.0,5.36,5.36,5.43,28.0,28.0,38.0,1.5,1.5,1.42,12.0,12.0,16.0,0.96,0.96,0.87,2411.0,2411.0,3010.0,86.11,86.11,79.21,201.0,188.0,6.0,3.5,8.5,0.0,0.0,1.0,7.0,10.0,32.0,0.771,1157.0,5.0,9.0,33.8,14.0,0.0,0.0,6.0,5.833333333333333,5.277777777777778,6.0,0.0,2.5,9.0,6.0,6.5,7.0,3.0,4.5,3.0,4.5,5.0,7.5,4.0,7.0,6.5,4.0,5.0,6.0,4.5,4.5,4.5,7.0,5.0,6.5,4.5,6.0,4.5,6.0,7.0,0.0,5.0,4.5,6.0,4.5,6.0,4.5,8.0,3.0,9.0,32.302093669723185,-9.697906330276815,230.0,Alisson,G,15.0,22.0,5.68,5.68,5.72,28.0,28.0,39.0,1.11,1.11,0.99,0.0,0.0,0.0,1.0,1.0,1.0,2520.0,2520.0,3510.0,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,5.0,5.0,5.388888888888889,3.5,0.0,4.5,7.0,6.0,7.5,6.0,4.0,6.0,4.0,4.5,5.5,6.5,6.0,6.5,5.0,6.0,7.5,8.0,5.0,5.5,6.5,6.0,6.0,5.5,6.0,4.5,5.0,5.0,6.5,5.0,5.0,6.0,5.5,6.0,5.0,6.0,6.0,3.0,9.0,15.986387123632085,0.9863871236320847
7,69,Partey Thomas,MD,21.0,25.0,5.92,5.9,5.81,24,5,29,0.88,0.74,1.04,3,1,4,0.92,0.8,0.93,1924,336,2358,80.17,67.2,81.31,641.0,590.0,6.0,7.0,11.5,0.0,0.0,2.0,0.0,1.0,9.0,0.8567,1850.0,23.0,31.0,57.71,25.0,0.0,0.0,5.5,6.125,5.833333333333333,5.5,6.0,7.0,6.0,5.0,0.0,6.0,4.5,5.5,7.0,5.5,5.5,5.5,5.0,6.5,8.0,5.0,0.0,6.0,6.0,8.0,5.5,6.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4,9,21.0,0.0,7.0,Almirón Miguel,MO,22.0,39.0,5.76,0.0,5.54,25.0,0.0,36.0,1.07,0.0,1.1,11.0,0.0,12.0,0.96,0.0,0.89,1996.0,0.0,2723.0,79.84,0.0,75.64,181.0,227.0,6.0,2.0,11.0,0.0,0.0,2.0,1.0,2.0,23.0,0.8383,1087.0,7.0,25.0,53.8,17.0,0.0,0.0,5.0,5.25,5.285714285714286,0.0,0.0,6.5,4.0,0.0,5.0,6.5,4.5,5.0,5.5,5.0,5.0,7.0,6.0,7.0,7.5,7.0,6.0,4.5,7.0,8.0,5.0,0.0,5.0,4.5,5.5,6.0,5.0,6.0,5.0,6.0,3.0,4.0,5.5,5.0,5.5,0.0,7.0,2.0,7.0,24.83749437644346,2.837494376443459,231.0,Guaita Vicente,G,17.0,19.0,5.65,5.5,5.69,27.0,1.0,34.0,1.26,0.0,1.19,0.0,0.0,0.0,1.0,1.0,1.0,2430.0,90.0,3060.0,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,6.0,5.5,6.0,5.5,0.0,6.0,5.0,6.0,6.0,7.0,5.5,7.5,5.5,2.5,6.5,6.0,5.5,5.0,7.0,3.5,6.0,8.0,6.0,5.0,0.0,5.5,7.5,5.0,3.5,6.0,6.0,4.0,6.5,0.0,0.0,5.5,6.0,0.0,4.0,6.5,6.0,3.0,9.0,15.412429832337462,-1.5875701676625376
8,72,Bruno Guimarães,MD,16.0,24.0,5.81,5.5,5.59,21,4,33,1.07,1.15,1.9,3,0,7,1.0,1.0,0.97,1763,360,2598,83.95,90.0,78.73,588.0,371.0,6.5,5.33,9.5,0.0,0.0,2.0,3.0,2.0,10.0,0.8327,1346.0,24.0,25.0,56.75,28.0,0.0,0.0,6.0,5.5,5.333333333333333,6.5,6.5,4.5,4.5,0.0,0.0,0.0,0.0,4.5,5.5,5.5,4.5,7.0,5.0,6.5,7.0,5.0,6.0,6.0,8.0,7.0,4.5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,8.0,3.0,5.5,8.0,8.0,7.0,5.5,7.0,4,6,16.0,0.0,8.0,Rodrigo,A,20.0,35.0,5.43,4.83,5.25,22.0,3.0,32.0,1.19,1.04,1.22,11.0,1.0,13.0,0.77,0.0,0.81,1394.0,72.0,2166.0,63.36,24.0,67.69,127.0,167.0,5.0,1.82,2.5,1.0,0.0,1.0,1.0,2.0,18.0,0.7237,624.0,5.0,5.0,34.04,18.0,0.0,0.0,5.5,4.833333333333333,4.8,4.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,6.5,5.0,4.5,7.5,5.0,7.0,6.0,3.5,5.0,5.5,5.0,0.0,5.0,0.0,4.0,5.0,7.0,8.0,6.0,5.0,5.0,4.0,3.0,5.5,3.5,7.0,5.0,6.5,3.0,5.0,23.712187058073837,3.7121870580738374,232.0,Arrizabalaga Kepa,G,14.0,20.0,5.62,5.38,5.62,21.0,13.0,21.0,1.13,1.06,1.13,0.0,0.0,0.0,1.0,1.0,1.0,1845.0,1170.0,1845.0,87.86,90.0,87.86,0.0,0.0,0.0,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,6.0,4.875,5.3,3.5,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.5,7.0,5.0,6.0,6.0,0.0,0.0,4.0,6.0,7.0,8.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,15.897759635288775,1.8977596352887751
9,73,João Palhinha,MD,17.0,21.0,5.8,5.0,5.8,25,1,25,0.87,0.0,0.87,3,0,3,1.0,1.0,1.0,2226,88,2226,89.04,88.0,89.04,742.0,742.0,6.5,5.67,7.5,0.0,0.0,1.0,0.0,0.0,3.0,0.8044,1261.0,34.0,58.0,62.58,29.0,0.0,0.0,5.5,5.0,5.642857142857143,5.0,0.0,0.0,0.0,6.0,6.0,6.5,6.5,4.0,5.5,7.0,7.5,6.0,5.5,5.0,6.0,5.5,6.5,5.5,4.0,0.0,7.0,6.0,5.5,6.5,5.0,6.5,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,17.0,0.0,9.0,Watkins Ollie,A,33.0,45.0,5.43,5.88,5.35,28.0,13.0,40.0,1.15,0.96,1.13,11.0,8.0,15.0,0.96,1.0,0.98,2329.0,1066.0,3380.0,83.18,82.0,84.5,212.0,225.0,6.0,3.0,9.5,1.0,0.0,1.0,5.0,2.0,21.0,0.6962,789.0,8.0,9.0,38.85,19.0,0.0,0.0,4.5,6.0,5.95,6.5,6.0,7.0,4.5,6.5,6.0,6.0,7.0,6.0,4.0,4.5,6.5,6.0,0.0,6.0,3.5,7.0,4.5,3.5,4.5,5.0,4.5,7.0,4.0,4.0,5.0,6.0,6.5,4.5,4.0,6.0,7.0,7.0,5.0,5.0,4.0,6.0,4.0,4.0,10.0,30.596619315523775,-2.4033806844762253,235.0,Martínez Emiliano,G,18.0,20.0,5.57,5.73,5.47,27.0,11.0,38.0,1.26,1.68,1.17,0.0,0.0,0.0,1.0,1.0,1.0,2375.0,990.0,3365.0,87.96,90.0,88.55,0.0,0.0,0.0,1000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,24.0,5.0,6.5,5.75,8.0,6.0,6.0,6.0,7.0,2.5,5.5,3.0,7.5,6.0,5.5,0.0,0.0,5.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,4.5,7.0,6.0,4.0,0.0,5.5,6.0,6.0,6.0,5.0,3.0,5.0,5.0,4.0,10.0,16.899511431130485,-1.1004885688695154
